date,open,high,low,close,volume,average,barCount,symbol,next_open,gap_pct,pre_market_volume,pre_market_dollar_vol,avg_pre_market_vol_30d,avg_pre_market_dollar_vol_30d,rel_vol,rel_dollar_vol,predicted,next_close,previous_close,model_probability,entry,exit,profit,strategy_return
2017-02-10,231.02,231.77,230.88,231.51,44461382.0,231.343,156491,SPY,232.08,0.2462096669690388,546543.0,126210955.37,546543.0,126210955.37,1.0,1.0,1,232.77,,0.7732410023036064,231.02,231.47,0.44999999999998863,0.001947883300147124
2017-02-13,232.08,233.07,232.05,232.77,42342102.0,232.612,152667,SPY,232.56,-0.09021781157365981,989748.0,229654422.79000002,768145.5,177932689.08,1.2884902664924809,1.2906814592497138,1,233.7,231.51,0.7678599315129513,232.08,232.65000000000003,-0.5700000000000216,-0.002456049638055936
2017-02-14,232.56,233.71,232.16,233.7,50850084.0,233.042,176763,SPY,233.45,-0.10697475395806591,759631.0,176724956.68,765307.3333333334,177530111.61333334,0.9925829361798876,0.9954646852524546,1,234.92,232.77,0.7722993391603268,232.56,232.77,0.21000000000000796,0.0009029927760578258
2017-02-15,233.45,235.14,233.39,234.92,61473645.0,234.39,207121,SPY,234.96,0.01702707304615208,1542194.0,360028186.74,959529.0,223154630.395,1.6072406357702582,1.613357455781777,1,234.72,233.7,0.76140628217865,233.45,233.7,0.25,0.0010708931248661383
2017-02-16,234.96,235.16,233.85,234.72,66786200.0,234.482,241698,SPY,233.95,-0.32805044308112224,1313066.0,308373252.05999994,1030236.4,240198354.728,1.274528836294272,1.283827495026771,1,235.09,234.92,0.7655810472176083,234.96,234.92,0.040000000000020464,0.00017024174327553822
2017-02-17,233.95,235.09,233.93,235.09,48329877.0,234.475,170125,SPY,235.52,0.18290867327406815,2783972.0,651350143.05,1322525.6666666667,308723652.7816667,2.1050419437354333,2.1098161322632545,1,236.49,234.72,0.7537587544297274,233.95,234.72,0.7700000000000102,0.003291301560162472
2017-02-21,235.52,236.69,235.51,236.49,52838456.0,236.271,194467,SPY,236.02,-0.19873990443570505,786775.0,185294902.43,1245989.857142857,291090974.15999997,0.6314457501316509,0.6365532389477371,1,236.28,235.09,0.7771588118493985,235.52,235.95000000000002,-0.4300000000000068,-0.0018257472826087246
2017-02-22,236.02,236.54,235.83,236.28,39266269.0,236.239,147325,SPY,236.88,0.25393600812594985,911119.0,215008911.54000002,1204131.0,281580716.3325,0.7566610277453201,0.7635782532995273,1,236.44,236.49,0.774718452379384,236.02,236.32,0.29999999999998295,0.001271078722142119
2017-02-23,236.88,236.9,235.56,236.44,62442105.0,236.31,219795,SPY,235.46,-0.4144814752156952,829146.0,196285921.63,1162466.0,272103516.9211111,0.7132647320437759,0.7213648829350032,1,236.74,236.28,0.7748373441200593,236.88,236.28,0.5999999999999943,0.0025329280648429347
2017-02-24,235.46,236.8,235.41,236.74,57964755.0,236.095,218630,SPY,236.63,-0.046464475796237914,2845019.0,669815208.37,1330721.3,311874686.066,2.1379525524991596,2.14770623681927,1,237.11,236.44,0.7513705617573546,235.46,236.44,0.9799999999999898,0.004162065743650682
2017-02-27,236.63,237.31,236.35,237.11,41659147.0,236.923,167846,SPY,236.67,-0.1855678798869833,983274.0,232643824.66000003,1299135.1818181819,304671880.4836364,0.7568681179304806,0.7635881076084247,1,236.47,236.74,0.7746757674586963,236.63,236.74,0.11000000000001364,0.00046486075307447766
2017-02-28,236.67,236.95,236.01,236.47,59059331.0,236.549,209725,SPY,238.38,0.807713452023511,605587.0,143366691.8,1241339.5,291229781.4266667,0.4878496172884211,0.4922803262004321,1,239.78,237.11,0.7798332514837611,236.67,236.22999999999996,-0.44000000000002615,-0.0018591287446656788
2017-03-01,238.38,240.32,238.37,239.78,79898964.0,239.573,282373,SPY,239.56,-0.0917507715405784,2662496.0,634214020.51,1350659.2307692308,317613184.4330769,1.9712566570056673,1.9968126374918571,1,238.27,236.47,0.7484545694750041,238.38,239.6,-1.2199999999999989,-0.005117879016696027
2017-03-02,239.56,239.57,238.21,238.27,55178748.0,238.818,199605,SPY,238.17,-0.04196919461116495,990089.0,237184426.43,1324904.2142857143,311868273.1471429,0.7472910036245747,0.7605275908206725,1,238.42,239.78,0.7726670006759099,239.56,239.34,-0.21999999999999886,-0.0009183503088996446
2017-03-03,238.17,238.61,237.73,238.42,45071566.0,238.204,172087,SPY,237.5,-0.3858736683164112,801250.0,190815245.92,1289993.9333333333,303798071.33199996,0.6211269520699038,0.6280989378351621,1,237.71,238.27,0.7766527509638125,238.17,238.06999999999996,-0.10000000000002274,-0.00041986816139741675
2017-03-06,237.5,238.12,237.01,237.71,38523724.0,237.589,143937,SPY,237.35,-0.1514450380716056,678017.0,161122573.78,1251745.375,294880852.735,0.5416572839344423,0.5463989007275277,1,237.0,238.42,0.7786767524594829,237.5,237.82,0.3199999999999932,0.0013473684210526028
2017-03-07,237.35,237.77,236.76,237.0,39725885.0,237.212,152170,SPY,237.32,0.13502109704641063,874944.0,207703317.26999998,1229580.5882352942,289752762.4135294,0.7115792233315329,0.7168294636431107,1,236.56,237.71,0.7759492796462826,237.35,236.98999999999998,-0.36000000000001364,-0.0015167474194228508
2017-03-08,237.32,237.64,236.4,236.56,54523096.0,237.027,194754,SPY,236.68,0.0507270882651355,1735460.0,411458550.64,1257685.0,296514195.0927778,1.3798844702767386,1.3876521173337306,1,236.86,237.0,0.764512607351372,237.32,237.0,0.3199999999999932,0.0013483903590089043
2017-03-09,236.68,237.24,235.74,236.86,58603340.0,236.659,198702,SPY,237.97,0.4686312589715381,1626317.0,384812626.87,1277086.6842105263,301161480.9757895,1.2734585835928296,1.2777617696100227,1,237.69,236.56,0.7675126156150374,236.68,236.8,-0.12000000000000455,-0.0005070136893696322
2017-03-10,237.97,238.02,236.59,237.69,57074557.0,237.415,193945,SPY,237.62,-0.029450124111234457,3223899.0,767197454.3599999,1374427.3,324463279.645,2.3456307947317403,2.3645124194004383,1,237.81,236.86,0.7445720918810936,237.97,237.49,0.47999999999998977,0.002017060974072319
